web_scraper_order,web_scraper_start_url,price,name,location,image
"1765197468-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Carpe Koï","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3345713_uploaded_image1_1632222841.jpg"
"1765197468-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","40 000CFA","Chaton","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3341213_uploaded_image1_1631968364.jpg"
"1765197468-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Perruches","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3336754_uploaded_image1_1631736919.jpg"
"1765197468-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Veaux","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3335012_uploaded_image1_1631654129.jpg"
"1765197468-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","1 200 000CFA","Bœuf","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3330908_uploaded_image1_1631459213.jpg"
"1765197468-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","24 000CFA","Perruche","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3321530_uploaded_image1_1631021949.jpg"
"1765197468-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","400CFA","Cailleteaux","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3319946_uploaded_image1_1630948417.jpg"
"1765197468-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 500CFA","Caille","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3319937_uploaded_image1_1630948254.jpg"
"1765197468-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Veaux","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3318063_uploaded_image1_1630865928.jpg"
"1765197468-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Oie guinéen","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316816_uploaded_image1_1630785391.jpg"
"1765197468-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","90 000CFA","Oie gardien","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316810_uploaded_image1_1630785291.jpg"
"1765197468-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chèvre mâle","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3315646_uploaded_image1_1630745395.jpg"
"1765197468-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","600 000CFA","Vache","Niaga, Sénégal","https://images.coinafrique.com/thumb_3287171_uploaded_image1_1629317948.jpg"
"1765197468-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","600 000CFA","Vache","Niaga, Sénégal","https://images.coinafrique.com/thumb_3287170_uploaded_image1_1629317800.jpg"
"1765197468-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","130 000CFA","Oies adultes","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3273490_uploaded_image1_1628621055.jpg"
"1765197468-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","450 000CFA","Taureau","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3271377_uploaded_image1_1628524523.jpg"
"1765197468-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","740 000CFA","Taureau","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg"
"1765197468-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","740 000CFA","Taureau","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3263210_uploaded_image1_1628122860.jpg"
"1765197468-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","12 000CFA","Poisson aquarium","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3256827_uploaded_image1_1627902901.jpg"
"1765197468-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3254310_uploaded_image1_1627784670.jpg"
"1765197468-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","740 000CFA","Bœufs","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3253864_uploaded_image1_1627751756.jpg"
"1765197468-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","15 000CFA","Perruche ondulée","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3243586_uploaded_image1_1627157324.jpg"
"1765197468-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bœufs","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3240329_uploaded_image1_1626964752.jpg"
"1765197468-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chatons 2 et 3 mois","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3222114_uploaded_image1_1626003610.jpg"
"1765197468-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","20 000CFA","Perruches ondulées","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3215371_uploaded_image1_1625676061.jpg"
"1765197468-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","60 000CFA","Oies","Dakar, Sénégal","https://images.coinafrique.com/thumb_3172011_uploaded_image1_1623695650.jpg"
"1765197468-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","60 000CFA","Oies","Dakar, Sénégal","https://images.coinafrique.com/thumb_3172006_uploaded_image1_1623695521.jpg"
"1765197468-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","450 000CFA","Cheval","Pikine, Sénégal","https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg"
"1765197468-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Cailles","Touba, Sénégal","https://images.coinafrique.com/thumb_3169648_uploaded_image3_1623581190.jpeg"
"1765197468-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Couple dinde","Touba, Sénégal","https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg"
"1765197468-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Dinde","Touba, Sénégal","https://images.coinafrique.com/thumb_3165522_uploaded_image1_1623360382.jpg"
"1765197468-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Paonneau","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3164991_uploaded_image1_1623339895.jpg"
"1765197468-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Rat","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3156125_uploaded_image1_1622977662.jpg"
"1765197468-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Poisson vivant","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3140939_uploaded_image1_1622373784.jpg"
"1765197468-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","800 000CFA","Boeuf","Bambey, Sénégal","https://images.coinafrique.com/thumb_3140204_uploaded_image1_1622308324.jpg"
"1765197468-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","85 000CFA","Oie géant","Mbour, Sénégal","https://images.coinafrique.com/thumb_3133835_uploaded_image1_1621994387.jpg"
"1765197468-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","30 000CFA","Couple colvert","Dakar, Sénégal","https://images.coinafrique.com/thumb_3127244_uploaded_image1_1621622446.jpg"
"1765197468-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Oiseaux exotiques","Dakar, Sénégal","https://images.coinafrique.com/thumb_3119376_uploaded_image1_1621259652.jpg"
"1765197468-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Couple perruches ondulées","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3116528_uploaded_image1_1621091686.jpg"
"1765197468-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","300 000CFA","Vache","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3095614_uploaded_image1_1620093462.jpg"
"1765197468-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","65 000CFA","Trio dindes d’amérique","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3092550_uploaded_image1_1619979240.jpg"
"1765197468-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","40 000CFA","Couple perruche arc en ciel","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3092218_uploaded_image1_1619966133.jpg"
"1765197468-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Taureau - géniteur laitier","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3087054_uploaded_image1_1619718794.jpg"
"1765197468-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3054622_uploaded_image1_1618231466.jpg"
"1765197468-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","650 000CFA","Cheval","Dakar, Sénégal","https://images.coinafrique.com/thumb_3053064_uploaded_image1_1618156860.jpg"
"1765197468-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Taureau géniteur laitier","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3039728_uploaded_image1_1617557251.jpg"
"1765197468-123","https://sn.coinafrique.com/categorie/autres-animaux?page=5","25 000CFA","Oisillons","Dakar, Sénégal","https://images.coinafrique.com/thumb_3026572_uploaded_image1_1617014695.jpg"
"1765197468-124","https://sn.coinafrique.com/categorie/autres-animaux?page=5","80 000CFA","Oie adulte","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg"
"1765197468-125","https://sn.coinafrique.com/categorie/autres-animaux?page=5","800 000CFA","Cheval","Dakar, Sénégal","https://images.coinafrique.com/thumb_3012715_uploaded_image1_1616282777.jpg"
"1765197468-126","https://sn.coinafrique.com/categorie/autres-animaux?page=5","425 000CFA","Bœuf","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3012014_uploaded_image1_1616250290.jpg"
"1765197468-127","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Laor noir","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005811_uploaded_image1_1615937465.jpg"
"1765197468-128","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 500CFA","Porc","Dakar, Sénégal","https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg"
"1765197468-129","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bœuf","Dakar, Sénégal","https://images.coinafrique.com/thumb_2968890_uploaded_image1_1614172978.jpg"
"1765197468-130","https://sn.coinafrique.com/categorie/autres-animaux?page=5","160 000CFA","Chaton Angora turque","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg"
"1765197468-131","https://sn.coinafrique.com/categorie/autres-animaux?page=5","85 000CFA","Couple oie de toulouse adulte","Mbour, Sénégal","https://images.coinafrique.com/thumb_2936871_uploaded_image1_1612659734.jpg"
"1765197468-132","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Perroquet Sénégal avec cage","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg"
"1765197468-133","https://sn.coinafrique.com/categorie/autres-animaux?page=5","1 500 000CFA","Jument arabe","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg"
"1765197468-134","https://sn.coinafrique.com/categorie/autres-animaux?page=5","12 500CFA","Perruches - inséparables","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2896567_uploaded_image1_1610914575.jpg"
"1765197468-135","https://sn.coinafrique.com/categorie/autres-animaux?page=5","70 000CFA","Dinde rouge","Louga, Sénégal","https://images.coinafrique.com/thumb_2888081_uploaded_image1_1610544422.jpg"
"1765197468-136","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton noir blanc","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg"
"1765197468-137","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bouc race laitière","Saly, Sénégal","https://images.coinafrique.com/thumb_2881915_uploaded_image1_1610303521.jpg"
"1765197468-138","https://sn.coinafrique.com/categorie/autres-animaux?page=5","50 000CFA","Canard Colvert","Thies, Sénégal","https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg"
"1765197468-139","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chatons","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2860327_uploaded_image1_1609342553.jpg"
"1765197468-140","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Veau","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg"
"1765197468-141","https://sn.coinafrique.com/categorie/autres-animaux?page=5","550 000CFA","Vache","Bambey, Sénégal","https://images.coinafrique.com/thumb_2846588_uploaded_image1_1608636321.jpg"
"1765197468-142","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Chaton Angora Turc","Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1765197468-143","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Dinde d'amérique","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735977_uploaded_image1_1604436594.jpg"
"1765197468-144","https://sn.coinafrique.com/categorie/autres-animaux?page=5","300 000CFA","Vache","Louga, Sénégal","https://images.coinafrique.com/thumb_2709747_uploaded_image1_1603289227.jpg"
"1765197468-145","https://sn.coinafrique.com/categorie/autres-animaux?page=5","35 000CFA","Canard","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg"
"1765197468-146","https://sn.coinafrique.com/categorie/autres-animaux?page=5","15 000CFA","Olpliitone 20 jours","Dakar, Sénégal","https://images.coinafrique.com/thumb_2701057_uploaded_image1_1602937383.jpg"
"1765197468-147","https://sn.coinafrique.com/categorie/autres-animaux?page=5","850 000CFA","Âne Arabe","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2697117_uploaded_image1_1602773283.jpg"
"1765197468-148","https://sn.coinafrique.com/categorie/autres-animaux?page=5","250 000CFA","Bœufs","Louga, Sénégal","https://images.coinafrique.com/thumb_2694722_uploaded_image1_1602689183.jpg"
"1765197468-149","https://sn.coinafrique.com/categorie/autres-animaux?page=5","350 000CFA","Bœufs","Louga, Sénégal","https://images.coinafrique.com/thumb_2694720_uploaded_image1_1602689075.jpg"
"1765197468-150","https://sn.coinafrique.com/categorie/autres-animaux?page=5","350 000CFA","Bœufs","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1765197468-151","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Vaches laitières","Mbour, Sénégal","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg"
"1765197468-152","https://sn.coinafrique.com/categorie/autres-animaux?page=5","200 000CFA","Chèvre Bouc de race","Louga, Sénégal","https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg"
"1765197468-153","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Bouc chèvre","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg"
"1765197468-154","https://sn.coinafrique.com/categorie/autres-animaux?page=5","225 000CFA","Paon bleu","Dakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
